title,price,header,kw,sid,linkwithprice,productid,categoryId,desc
Viessmann Vitodens 300-W (19 kW),2673.6, Viessmann Vitodens 300-W (19 kW),"Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Wandkessel / Nennwärmeleistung: 19 kW / Energieträger: Erdgas, Erdgas E, Flüssiggas, Erdgas LL / Norm-Nutzungsgrad: 109 % / Modulationsbereich: 1,9 - 19 kW / verwendbar für: Solar Heizungsunterstützung, Heizungswasser, Trinkwasser (interner ...",297223,/preisvergleich/Relocate/436143906.html?categoryId=18406&pos=1&price=2673.6&productid=1223701&sid=297223&type=offer,1223701,18406," VIESS­MANN B3HA002 Vi­to­dens 300-W 1,9 - 19,0kW, Gas-Brenn- wert­heiz­ge­rät mit Vi­to­tro­nic 200 ATS lgb"
Viessmann Vitodens 222-F (19 kW),2850.0, Viessmann Vitodens 222-F (19 kW),"Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Standkessel / Nennwärmeleistung: 19 kW / Energieträger: Erdgas / Norm-Nutzungsgrad: 98 % / Modulationsbereich: 18 % - 100 % / Modulationsbereich: 3,2 - 19 kW / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / ...",9701,/preisvergleich/Relocate/456705197.html?categoryId=18406&pos=1&price=2850.0&productid=2106152&sid=9701&type=offer,2106152,18406, 
Viessmann Vitodens 300-W (19 kW),2696.8, Viessmann Vitodens 300-W (19 kW),"Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Wandkessel / Nennwärmeleistung: 19 kW / Energieträger: Erdgas, Erdgas E, Flüssiggas, Erdgas LL / Norm-Nutzungsgrad: 109 % / Modulationsbereich: 1,9 - 19 kW / verwendbar für: Solar Heizungsunterstützung, Heizungswasser, Trinkwasser (interner ...",294528,/preisvergleich/Relocate/559985700.html?categoryId=18406&pos=2&price=2696.8&productid=1223701&sid=294528&type=offer,1223701,18406, Vi­to­dens 300-W 19kW mit Vi­to­tro­nic 200
Viessmann Vitodens 222-F (19 kW),2850.0, Viessmann Vitodens 222-F (19 kW),"Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Standkessel / Nennwärmeleistung: 19 kW / Energieträger: Erdgas / Norm-Nutzungsgrad: 98 % / Modulationsbereich: 18 % - 100 % / Modulationsbereich: 3,2 - 19 kW / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / ...",9701,/preisvergleich/Relocate/456703514.html?categoryId=18406&pos=2&price=2850.0&productid=2106152&sid=9701&type=offer,2106152,18406, 
Viessmann Vitodens 300-W (19 kW),2751.28, Viessmann Vitodens 300-W (19 kW),"Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Wandkessel / Nennwärmeleistung: 19 kW / Energieträger: Erdgas, Erdgas E, Flüssiggas, Erdgas LL / Norm-Nutzungsgrad: 109 % / Modulationsbereich: 1,9 - 19 kW / verwendbar für: Solar Heizungsunterstützung, Heizungswasser, Trinkwasser (interner ...",297223,/preisvergleich/Relocate/436147967.html?categoryId=18406&pos=3&price=2751.28&productid=1223701&sid=297223&type=offer,1223701,18406," VIESS­MANN B3HA006 Vi­to­dens 300-W 1,9 - 19,0kW, Gas-Brenn- wert­heiz­ge­rät mit Vi­to­tro­nic 200 ATS Funk"
Viessmann Vitodens 222-F (19 kW),2996.25, Viessmann Vitodens 222-F (19 kW),"Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Standkessel / Nennwärmeleistung: 19 kW / Energieträger: Erdgas / Norm-Nutzungsgrad: 98 % / Modulationsbereich: 18 % - 100 % / Modulationsbereich: 3,2 - 19 kW / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / ...",276812,/preisvergleich/Relocate/387843559.html?categoryId=18406&pos=3&price=2996.25&productid=2106152&sid=276812&type=offer,2106152,18406," Viess­mann Paket Vi­to­dens 222-F Vi­to­tro­nic 200 HO1B 3,2 - 19,0 kW, nach links oder rechts"
Viessmann Vitodens 300-W (19 kW),2773.16, Viessmann Vitodens 300-W (19 kW),"Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Wandkessel / Nennwärmeleistung: 19 kW / Energieträger: Erdgas, Erdgas E, Flüssiggas, Erdgas LL / Norm-Nutzungsgrad: 109 % / Modulationsbereich: 1,9 - 19 kW / verwendbar für: Solar Heizungsunterstützung, Heizungswasser, Trinkwasser (interner ...",297223,/preisvergleich/Relocate/436143530.html?categoryId=18406&pos=4&price=2773.16&productid=1223701&sid=297223&type=offer,1223701,18406, VIESS­MANN B3HA035 Paket mit Vi­to­dens 300-W 19 kW für Erdgas
Viessmann Vitodens 222-F (19 kW),2996.25, Viessmann Vitodens 222-F (19 kW),"Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Standkessel / Nennwärmeleistung: 19 kW / Energieträger: Erdgas / Norm-Nutzungsgrad: 98 % / Modulationsbereich: 18 % - 100 % / Modulationsbereich: 3,2 - 19 kW / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / ...",276812,/preisvergleich/Relocate/436315094.html?categoryId=18406&pos=4&price=2996.25&productid=2106152&sid=276812&type=offer,2106152,18406, Viess­mann Paket Vi­to­dens 222-F 19 kW Vi­to­tro­nic
"Vaillant ecoTEC plus VCW 206/5-5 (20,6 kW)",1885.0," Vaillant ecoTEC plus VCW 206/5-5 (20,6 kW)","Gasheizung, Gastherme, Kombitherme, Gas-Brennwertkessel / Montageart: Wandkessel / Nennwärmeleistung: 20,6 kW / Nenn-Wärmeleistung Trinkwasser: 24 kW / Energieträger: Erdgas, Erdgas E, Flüssiggas, Erdgas LL / Norm-Nutzungsgrad: 109 % / Modulationsbereich: 20 % - 100 % / Modulationsbereich: 4,0 - ...",223861,/preisvergleich/Relocate/509371747.html?categoryId=18406&pos=1&price=1885.0&productid=4673719&sid=223861&type=offer,4673719,18406, Vail­lant VCW 206 Gas-Kom­bither­me Brenn­wert-Ko­mither­me Gasther­me Therme Hei­zung
"Buderus Logamax plus GB172-14 (15,1 kW)",1365.0," Buderus Logamax plus GB172-14 (15,1 kW)","Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Wandkessel / Nennwärmeleistung: 15,1 kW / Energieträger: Erdgas, Erdgas E, Erdgas L, Erdgas LL / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Energie-Effizienzklasse Pumpe: A / maximale ...",9701,/preisvergleich/Relocate/467391812.html?categoryId=18406&pos=1&price=1365.0&productid=2467626&sid=9701&type=offer,2467626,18406, 
