title,price,header,kw,sid,linkwithprice,productid,categoryId,desc
Viessmann Vitodens 222-W (13 kW),2857.6,"
Viessmann Vitodens 222-W (13 kW)","Gasheizung, Gastherme, Gas-Brennwertkessel, Gas-Heizkessel / Montageart: Wandkessel / Nennwärmeleistung: 13 kW / Energieträger: Erdgas, Flüssiggas / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 144 W / Wasserinhalt im Kessel: 46 ...",9701,/preisvergleich/Relocate/475430102.html?categoryId=18406&pos=1&price=2857.6&productid=4677123&sid=9701&type=offer,4677123,18406, 
Viessmann Vitodens 222-W (13 kW),2885.8,"
Viessmann Vitodens 222-W (13 kW)","Gasheizung, Gastherme, Gas-Brennwertkessel, Gas-Heizkessel / Montageart: Wandkessel / Nennwärmeleistung: 13 kW / Energieträger: Erdgas, Flüssiggas / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 144 W / Wasserinhalt im Kessel: 46 ...",294528,/preisvergleich/Relocate/559969174.html?categoryId=18406&pos=2&price=2885.8&productid=4677123&sid=294528&type=offer,4677123,18406," Vi­to­dens 222-W 13 kW mit Vi­to­tro­nic 100 HC1B, hoch­ef­fi­zi­ent"
Viessmann Vitodens 222-F (13 kW),2690.0,"
Viessmann Vitodens 222-F (13 kW)","Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Standkessel / Nennwärmeleistung: 13 kW / Energieträger: Erdgas / Norm-Nutzungsgrad: 98 % / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / maximale Vorlauftemperatur: 80 °C / Inhalt Trinkwassertank: 100 Liter / ...",289859,/preisvergleich/Relocate/481825971.html?categoryId=18406&pos=1&price=2690.0&productid=3131289&sid=289859&type=offer,3131289,18406," Viess­mann Vi­to­dens 222-F Kom­pakt-Brenn­wert­ther­me, 13 kW, VT100, HE ohne Ab­gas­pa­ket, ohne An­schluss-Set Viess­mann"
Viessmann Vitodens 200-W (13 kW),1715.0,"
Viessmann Vitodens 200-W (13 kW)","Gasheizung, Gastherme, Kombitherme, Gas-Brennwertkessel / Montageart: Wandkessel / Nennwärmeleistung: 13 kW / Energieträger: Erdgas, Erdgas E, Flüssiggas, Erdgas LL / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (Durchlauferhitzer-Prinzip), Solar Heizungsunterstützung / ...",289859,/preisvergleich/Relocate/481777811.html?categoryId=18406&pos=1&price=1715.0&productid=3664000&sid=289859&type=offer,3664000,18406," Viess­mann Vi­to­dens 200-W Gas-Brenn­wert­ther­me, 13 kW, VT100, HE ohne Ab­gas­pa­ket, ohne, ohne Viess­mann"
Viessmann Vitodens 222-W (13 kW),2934.94,"
Viessmann Vitodens 222-W (13 kW)","Gasheizung, Gastherme, Gas-Brennwertkessel, Gas-Heizkessel / Montageart: Wandkessel / Nennwärmeleistung: 13 kW / Energieträger: Erdgas, Flüssiggas / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 144 W / Wasserinhalt im Kessel: 46 ...",9701,/preisvergleich/Relocate/513493664.html?categoryId=18406&pos=3&price=2934.94&productid=4677123&sid=9701&type=offer,4677123,18406, 
Viessmann Vitodens 222-F (13 kW),2745.0,"
Viessmann Vitodens 222-F (13 kW)","Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Standkessel / Nennwärmeleistung: 13 kW / Energieträger: Erdgas / Norm-Nutzungsgrad: 98 % / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / maximale Vorlauftemperatur: 80 °C / Inhalt Trinkwassertank: 100 Liter / ...",9701,/preisvergleich/Relocate/366564113.html?categoryId=18406&pos=2&price=2745.0&productid=3131289&sid=9701&type=offer,3131289,18406, 
Viessmann Vitodens 200-W (13 kW),1760.0,"
Viessmann Vitodens 200-W (13 kW)","Gasheizung, Gastherme, Kombitherme, Gas-Brennwertkessel / Montageart: Wandkessel / Nennwärmeleistung: 13 kW / Energieträger: Erdgas, Erdgas E, Flüssiggas, Erdgas LL / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (Durchlauferhitzer-Prinzip), Solar Heizungsunterstützung / ...",9701,/preisvergleich/Relocate/440781167.html?categoryId=18406&pos=2&price=1760.0&productid=3664000&sid=9701&type=offer,3664000,18406, 
Viessmann Vitodens 222-W (13 kW),3008.99,"
Viessmann Vitodens 222-W (13 kW)","Gasheizung, Gastherme, Gas-Brennwertkessel, Gas-Heizkessel / Montageart: Wandkessel / Nennwärmeleistung: 13 kW / Energieträger: Erdgas, Flüssiggas / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 144 W / Wasserinhalt im Kessel: 46 ...",276812,/preisvergleich/Relocate/513353429.html?categoryId=18406&pos=4&price=3008.99&productid=4677123&sid=276812&type=offer,4677123,18406," Viess­mann Vi­to­dens 222-W mit Vi­to­tro­nic 100 3,2 - 13,0 kW"
Viessmann Vitodens 222-F (13 kW),2800.0,"
Viessmann Vitodens 222-F (13 kW)","Gasheizung, Gastherme, Gas-Brennwertkessel / Montageart: Standkessel / Nennwärmeleistung: 13 kW / Energieträger: Erdgas / Norm-Nutzungsgrad: 98 % / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / maximale Vorlauftemperatur: 80 °C / Inhalt Trinkwassertank: 100 Liter / ...",9701,/preisvergleich/Relocate/475430046.html?categoryId=18406&pos=3&price=2800.0&productid=3131289&sid=9701&type=offer,3131289,18406, 
Viessmann Vitodens 200-W (13 kW),1769.0,"
Viessmann Vitodens 200-W (13 kW)","Gasheizung, Gastherme, Kombitherme, Gas-Brennwertkessel / Montageart: Wandkessel / Nennwärmeleistung: 13 kW / Energieträger: Erdgas, Erdgas E, Flüssiggas, Erdgas LL / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (Durchlauferhitzer-Prinzip), Solar Heizungsunterstützung / ...",9701,/preisvergleich/Relocate/362636046.html?categoryId=18406&pos=3&price=1769.0&productid=3664000&sid=9701&type=offer,3664000,18406, 
