info,title,price,header,kw,sid,linkwithprice,productid,categoryId,desc
"Luft/Wasser-Wärmepumpe / Nennwärmeleistung: 6,7 kW / Leistungszahl (COP): 3,51 / Energie-Effizienzklasse Raumheizung bei 55°C: A Watt / Energie-Effizienzklasse Raumheizung bei 35°C: B / verwendbar für: Heizungswasser, Kühlwasser / Serie: Stiebel Eltron WPL / Energieträger: Luftwärme, Elektrizität / ...","Stiebel Eltron WPL 10 AC (6,7 kW)",6210.4," Stiebel Eltron WPL 10 AC (6,7 kW)","6,7",280623,/preisvergleich/Relocate/351171084.html?categoryId=18459&pos=1&price=6210.4&productid=1097040&sid=280623&type=offer,1097040,18459," Stie­bel Eltron 230236 - Hei­zungs-Wär­me­pum­pe WPL 10 AC, Wär­me­pum­pe Au­ßen­auf­stel­lu"
"Luft/Wasser-Wärmepumpe / Nennwärmeleistung: 6,7 kW / Leistungszahl (COP): 3,51 / Energie-Effizienzklasse Raumheizung bei 55°C: A Watt / Energie-Effizienzklasse Raumheizung bei 35°C: B / verwendbar für: Heizungswasser, Kühlwasser / Serie: Stiebel Eltron WPL / Energieträger: Luftwärme, Elektrizität / ...","Stiebel Eltron WPL 10 AC (6,7 kW)",6560.3," Stiebel Eltron WPL 10 AC (6,7 kW)","6,7",280623,/preisvergleich/Relocate/351171121.html?categoryId=18459&pos=2&price=6560.3&productid=1097040&sid=280623&type=offer,1097040,18459, Stie­bel Eltron 231788 - Hei­zungs­wär­me­pum­pe WPL 10 AC Ak­ti­ons­set 1
"Luft/Wasser-Wärmepumpe, Split-Wärmepumpe, Inverter-Wärmepumpe / Nennwärmeleistung: 10,1 kW / Leistungszahl (COP): 3,15 / Energie-Effizienzklasse Raumheizung bei 35°C: D / verwendbar für: Heizungswasser, Trinkwasser, Kühlwasser / Serie: Rotex HPSU / Energieträger: Luftwärme, Elektrizität, ...",Rotex HPSU compact (16 kW),2199.0, Rotex HPSU compact (16 kW),"10,1",9701,/preisvergleich/Relocate/581548231.html?categoryId=18459&pos=1&price=2199.0&productid=2608865&sid=9701&type=offer,2608865,18459, 
"Luft/Wasser-Wärmepumpe, Split-Wärmepumpe, Trinkwasser-Wärmepumpe / Nennwärmeleistung: 11 kW / Leistungszahl (COP): 4,47 / Energie-Effizienzklasse Raumheizung bei 35°C: A / verwendbar für: Heizungswasser, Trinkwasser, Kühlwasser / Serie: Rotex HPSU / Energieträger: Luftwärme, Elektrizität / maximale ...",Rotex HPSU compact (11 kW),3685.0, Rotex HPSU compact (11 kW),11,9701,/preisvergleich/Relocate/387954951.html?categoryId=18459&pos=1&price=3685.0&productid=2603672&sid=9701&type=offer,2603672,18459, 
"Luft/Wasser-Wärmepumpe / Nennwärmeleistung: 11,3 kW / Leistungszahl (COP): 3,7 / Energie-Effizienzklasse Raumheizung bei 35°C: A / verwendbar für: Heizungswasser / Serie: Stiebel Eltron WPL / Energieträger: Luftwärme, Elektrizität / maximale Vorlauftemperatur: 60 °C / Temperatur-Obergrenze: 40 °C / ...","Stiebel Eltron WPL 18 (11,3 kW)",6999.0," Stiebel Eltron WPL 18 (11,3 kW)","11,3",3500,/preisvergleich/Relocate/174174293.html?categoryId=18459&pos=1&price=6999.0&productid=790063&sid=3500&type=offer,790063,18459, Stie­bel-El­t­ron WPL 18 E
"Luft/Wasser-Wärmepumpe / Nennwärmeleistung: 9 kW / Leistungszahl (COP): 3,9 / Energie-Effizienzklasse Raumheizung bei 35°C: A / verwendbar für: Heizungswasser / Serie: Viessmann Vitocal / Energieträger: Luftwärme, Elektrizität / maximale Vorlauftemperatur: 50 °C / Temperatur-Obergrenze: 35 °C / ...",Viessmann Vitocal 300-A AWCI-AC 301.A (9 kW),7880.99, Viessmann Vitocal 300-A AWCI-AC 301.A (9 kW),9,276812,/preisvergleich/Relocate/387843448.html?categoryId=18459&pos=1&price=7880.99&productid=1066890&sid=276812&type=offer,1066890,18459," Viess­mann Vi­to­cal 300-A, 3-9kW re­ver­si­bel AWO-AC 3"
"Luft/Wasser-Wärmepumpe, Split-Wärmepumpe, Inverter-Wärmepumpe / Nennwärmeleistung: 5,6 kW / Leistungszahl (COP): 3,24 / Energie-Effizienzklasse Raumheizung bei 35°C: D / verwendbar für: Heizungswasser, Trinkwasser / Serie: Viessmann Vitocal / Energieträger: Luftwärme, Elektrizität / maximale ...","Viessmann Vitocal 200-S AWB201.B07 (5,6 kW)",3888.99," Viessmann Vitocal 200-S AWB201.B07 (5,6 kW)","5,6",276812,/preisvergleich/Relocate/387843624.html?categoryId=18459&pos=1&price=3888.99&productid=4646937&sid=276812&type=offer,4646937,18459," VIESS­MANN Vi­to­cal 200-S Typ AWB 201.B/C AWB 201.B07 - 5,6 kW"
"Trinkwasser-Wärmepumpe, Luft/Wasser-Wärmepumpe / Nennwärmeleistung: 1,6 kW / Leistungszahl (COP): 4,1 / Energie-Effizienzklasse Raumheizung bei 55°C: A Watt / verwendbar für: Trinkwasser / Serie: Stiebel Eltron WWK / Energieträger: Luftwärme, Elektrizität / maximale Vorlauftemperatur: 55 °C / ...","Stiebel Eltron WWK 300 (1,6 kW)",2070.0," Stiebel Eltron WWK 300 (1,6 kW)","1,6",9701,/preisvergleich/Relocate/569055808.html?categoryId=18459&pos=1&price=2070.0&productid=1434231&sid=9701&type=offer,1434231,18459, 
"Luft/Wasser-Wärmepumpe / Nennwärmeleistung: 6,7 kW / Leistungszahl (COP): 3,51 / Energie-Effizienzklasse Raumheizung bei 55°C: A Watt / Energie-Effizienzklasse Raumheizung bei 35°C: B / verwendbar für: Heizungswasser, Kühlwasser / Serie: Stiebel Eltron WPL / Energieträger: Luftwärme, Elektrizität / ...","Stiebel Eltron WPL 10 AC (6,7 kW)",6712.06," Stiebel Eltron WPL 10 AC (6,7 kW)","6,7",9701,/preisvergleich/Relocate/540733772.html?categoryId=18459&pos=3&price=6712.06&productid=1097040&sid=9701&type=offer,1097040,18459, 
"Luft/Wasser-Wärmepumpe, Split-Wärmepumpe, Inverter-Wärmepumpe / Nennwärmeleistung: 10,1 kW / Leistungszahl (COP): 3,15 / Energie-Effizienzklasse Raumheizung bei 35°C: D / verwendbar für: Heizungswasser, Trinkwasser, Kühlwasser / Serie: Rotex HPSU / Energieträger: Luftwärme, Elektrizität, ...",Rotex HPSU compact (16 kW),2199.0, Rotex HPSU compact (16 kW),"10,1",9701,/preisvergleich/Relocate/581548142.html?categoryId=18459&pos=2&price=2199.0&productid=2608865&sid=9701&type=offer,2608865,18459, 
