info,title,price,header,kw,sid,linkwithprice,productid,categoryId,desc
"Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 18 kW / Energieträger: Holzpellet / Norm-Nutzungsgrad: 94,4 % / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 65 W / ...",Viessmann Vitoligno 300 P (18 kW),8109.28, Viessmann Vitoligno 300 P (18 kW),18,276812,/preisvergleich/Relocate/387843642.html?categoryId=18406&pos=1&price=8109.28&productid=2711335&sid=276812&type=offer,2711335,18406, Viess­mann Vi­to­li­gno 300-P Pel­let­kes­sel m. Schne­cke 6 - 18 kW
"Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 18 kW / Energieträger: Holzpellet / Norm-Nutzungsgrad: 94,4 % / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 65 W / ...",Viessmann Vitoligno 300 P (18 kW),8162.9, Viessmann Vitoligno 300 P (18 kW),18,9701,/preisvergleich/Relocate/448346448.html?categoryId=18406&pos=2&price=8162.9&productid=2711335&sid=9701&type=offer,2711335,18406, 
"Holzvergaser, Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 20 kW / Energieträger: Scheitholz / Norm-Nutzungsgrad: 88 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Leistungsaufnahme während des ...",Viessmann Vitoligno 100 S (20 kW),2659.0, Viessmann Vitoligno 100 S (20 kW),20,289859,/preisvergleich/Relocate/508163193.html?categoryId=18406&pos=1&price=2659.0&productid=2226097&sid=289859&type=offer,2226097,18406, Vi­to­li­gno 100-S 20kW Viess­mann
"Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 18 kW / Energieträger: Holzpellet / Norm-Nutzungsgrad: 94,4 % / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 65 W / ...",Viessmann Vitoligno 300 P (18 kW),8200.0, Viessmann Vitoligno 300 P (18 kW),18,288366,/preisvergleich/Relocate/564097324.html?categoryId=18406&pos=3&price=8200.0&productid=2711335&sid=288366&type=offer,2711335,18406, Viess­mann Vi­to­li­gno 300-P Heiz­kes­sel für Holz­pel­lets mit fle­xi­bler Schne­cke Typ VL3B
"Holzvergaser, Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 20 kW / Energieträger: Scheitholz / Norm-Nutzungsgrad: 88 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Leistungsaufnahme während des ...",Viessmann Vitoligno 100 S (20 kW),2663.0, Viessmann Vitoligno 100 S (20 kW),20,288366,/preisvergleich/Relocate/306777296.html?categoryId=18406&pos=2&price=2663.0&productid=2226097&sid=288366&type=offer,2226097,18406, Viess­mann Vi­to­li­gno 100-S Scheit­holz­kes­sel 20KW VL1B007
"Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 18 kW / Energieträger: Holzpellet / Norm-Nutzungsgrad: 94,4 % / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 65 W / ...",Viessmann Vitoligno 300 P (18 kW),8493.74, Viessmann Vitoligno 300 P (18 kW),18,276812,/preisvergleich/Relocate/387844188.html?categoryId=18406&pos=4&price=8493.74&productid=2711335&sid=276812&type=offer,2711335,18406, Vi­to­li­gno 300-P Pel­let­kes­sel mit Sau­g­aus­füh­rung 6 - 18 kW
"Holzvergaser, Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 20 kW / Energieträger: Scheitholz / Norm-Nutzungsgrad: 88 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Leistungsaufnahme während des ...",Viessmann Vitoligno 100 S (20 kW),2686.0, Viessmann Vitoligno 100 S (20 kW),20,9701,/preisvergleich/Relocate/448346420.html?categoryId=18406&pos=3&price=2686.0&productid=2226097&sid=9701&type=offer,2226097,18406, 
"Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 18 kW / Energieträger: Holzpellet / Norm-Nutzungsgrad: 94,4 % / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 65 W / ...",Viessmann Vitoligno 300 P (18 kW),8589.0, Viessmann Vitoligno 300 P (18 kW),18,288366,/preisvergleich/Relocate/564056651.html?categoryId=18406&pos=5&price=8589.0&productid=2711335&sid=288366&type=offer,2711335,18406," Viess­mann Vi­to­li­gno 300-P Heiz­kes­sel für Holz­pel­lets mit Saug­sys­tem Typ VL3B ""6 - 18"""
"Holzvergaser, Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 20 kW / Energieträger: Scheitholz / Norm-Nutzungsgrad: 88 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Leistungsaufnahme während des ...",Viessmann Vitoligno 100 S (20 kW),2688.03, Viessmann Vitoligno 100 S (20 kW),20,276812,/preisvergleich/Relocate/387843224.html?categoryId=18406&pos=4&price=2688.03&productid=2226097&sid=276812&type=offer,2226097,18406, Viess­mann Vi­to­li­gno 100-S 20kW Vi­to­tro­nic 100 FC1
"Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 18 kW / Energieträger: Holzpellet / Norm-Nutzungsgrad: 94,4 % / verwendbar für: Heizungswasser, Trinkwasser (interner Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 65 W / ...",Viessmann Vitoligno 300 P (18 kW),9488.0, Viessmann Vitoligno 300 P (18 kW),18,9701,/preisvergleich/Relocate/297369855.html?categoryId=18406&pos=6&price=9488.0&productid=2711335&sid=9701&type=offer,2711335,18406, 
"Holzvergaser, Biomasseheizung, Festbrennstoffkessel, Pelletheizung, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 20 kW / Energieträger: Scheitholz / Norm-Nutzungsgrad: 88 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Leistungsaufnahme während des ...",Viessmann Vitoligno 100 S (20 kW),3190.0, Viessmann Vitoligno 100 S (20 kW),20,9701,/preisvergleich/Relocate/444351711.html?categoryId=18406&pos=5&price=3190.0&productid=2226097&sid=9701&type=offer,2226097,18406, 
"Holzvergaser, Biomasseheizung, Festbrennstoffkessel, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 25 kW / Energieträger: Holz / Norm-Nutzungsgrad: 91 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Leistungsaufnahme während des Betriebes: 50 W / ...",Santer Proburner Deluxe 25,2989.99, Santer Proburner Deluxe 25,25,286255,/preisvergleich/Relocate/277247644.html?categoryId=18406&pos=1&price=2989.99&productid=3746788&sid=286255&type=offer,3746788,18406, Santer Solar Holz­ver­ga­ser­kes­sel Probur­ner DELUXE 25 kW BAFA
"Biomasseheizung, Festbrennstoffkessel, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 18 kW / Energieträger: Scheitholz / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher), Solar Heizungsunterstützung / Wasserinhalt im Kessel: 120 Liter / Durchmesser des ...",Fröling Scheitholzkessel S3 Turbo 18 KW,4225.0, Fröling Scheitholzkessel S3 Turbo 18 KW,18,293350,/preisvergleich/Relocate/512715695.html?categoryId=18406&pos=1&price=4225.0&productid=3174374&sid=293350&type=offer,3174374,18406, Frö­l­ing S3 Turbo 18KW WOS Holz­ver­ga­ser Scheit­holz­kes­sel inkl.
"Holzvergaser, Biomasseheizung, Festbrennstoffkessel, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 25 kW / Energieträger: Scheitholz, Holz / max. Scheitholzlänge: 53 cm / Norm-Nutzungsgrad: 90 % / verwendbar für: Solar Heizungsunterstützung, Heizungswasser, Trinkwasser (externer ...",Atmos DC 25 GSE,3195.9, Atmos DC 25 GSE,25,293515,/preisvergleich/Relocate/574210514.html?categoryId=18406&pos=1&price=3195.9&productid=1098439&sid=293515&type=offer,1098439,18406, Atmos Holz­ver­ga­ser­kes­sel DC 25 GSE
"Biomasseheizung, Pelletheizung, Festbrennstoffkessel, Holzheizung / Montageart: Standkessel / Nennwärmeleistung: 14 kW / Energieträger: Holz, Holzpellet / Norm-Nutzungsgrad: 90 % / verwendbar für: Heizungswasser / Leistungsaufnahme beim Start: 1.120 W / Leistungsaufnahme während des Betriebes: 120 W ...",Atmos P 14,1015.24, Atmos P 14,14,284079,/preisvergleich/Relocate/219996517.html?categoryId=18406&pos=1&price=1015.24&productid=3214137&sid=284079&type=offer,3214137,18406, Atmos D 14 P Pel­let­kes­sel (ohne Pel­let­bren­ne
